Type de ticket, Résumé, Description, Versions corrigées, Priorité, Epic link, Sprint, Story points, Status
Story, E01-F01-US 001 - Create an account, En tant qu'utilisateur Je souhaite créer un compte Afin de pouvoir passer et suivre mes commandes, V1.0, Highest, E01 - Authentication, 1, 3, Terminé(e)
Story, E01-F01-US 002 - Sign in, En tant qu'utilisateur ayant un compte Je souhaite m'authentifier sur le site Afin de pouvoir passer et suivre mes commandes, V1.0, High, E01 - Authentication, 2, 2, Terminé(e)
Story, E01-F01-US 003 - Sign out, En tant qu'utilisateur authentifié Je souhaite me déconnecter du site Afin que personne ne puisse accéder à mes données, V1.0, Low, E01 - Authentication, 4, 1, Terminé(e)
Story, E02-F02-US 004 - Order history, En tant qu'utilisateur ayant confirmé des commandes Je souhaite avoir un récapitulatif de toutes mes commandes passées Afin de consulter l'historique de mes commandes et voir le détail de celles-ci, V1.0, High, E02 - My account, 2, 5, Terminé(e)
Story, E02-F02-US 005 - Order details,  , V1.0, Medium, E02 - My account, 3, 3, Terminé(e)
Story, E02-F02-US 006 - Send a message,  , V1.0, Medium, E02 - My account, 3, 2, Terminé(e)
Story, E02-F03-US 007 - My Credit slips,  , V1.0, High, E02 - My account, 2, 2, Terminé(e)
Story, E02-F04-US 008 - Add a new adress,  , V1.0, Medium, E02 - My account, 3, 2, Terminé(e)
Story, E02-F04-US 009 - Update an adress,  , V1.0, Medium, E02 - My account, 3, 2, Terminé(e)
Story, E02-F04-US 010 - Delete an adress,  , V1.0, Medium, E02 - My account, 3, 1, Terminé(e)
Story, E02-F05-US 011 - My personal information, En tant qu'utilisateur n'ayant pas encore de compte Je souhaite saisir mes informations personnelles Afin de m'enregistrer, V1.0, Highest, E02 - My account, 1, 5, Terminé(e)
Story, E02-F06-US 012 - Add a wishlist,  , V1.0, Medium, E02 - My account, 3, 3, Terminé(e)
Story, E02-F06-US 013 - Update a wishlist,  , V1.0, Medium, E02 - My account, 3, 3, Terminé(e)
Story, E02-F06-US 014 - Delete a wishlist,  , V1.0, Medium	, E02 - My account, 3, 1, Terminé(e)
Story, E02-F06-US 015 - Send a wishlist,  , V1.0, Medium, E02 - My account, 3, 3, Terminé(e)
Story, E03-F07-US 016 - Synthèse du panier (Cart), En tant qu'utilisateur Je souhaite avoir une synthèse de mon Panier Afin de visualiser et mettre à jour mon panier ou procéder au check-out, V1.0, High, E03 - Shopping cart, 2, 5, Terminé(e)
Story, E03-F08-US 017 - Shopping cart Summary, En tant qu'utilisateur Je souhaite visualiser le contenu de mon panier Afin de prendre connaissance du contenu de mon panier ou le modifier, V1.0, Highest, E03 - Shopping cart, 1, 5, Terminé(e)
Story, E03-F08-US 018 - Supprimer un produit du panier,  , V1.0, Highest, E03 - Shopping cart, 1, 3, Terminé(e)
Story, E03-F09-US 019 - Shopping cart Adress, En tant qu'utilisateur authentifié sur le site Je souhaite choisir une adresse de livraison et apporter des précisions pour la livraison Afin de pouvoir être livré à cette adresse, V1.0, Highest, E03 - Shopping cart, 1, 5, Terminé(e)
Story, E03-F10-US 020 - Shopping cart Shipping, En tant qu'utilisateur authentifié sur le site Je souhaite choisir le mode de livraison "My carrier Delivery next day" ou "My carrier Delivery Economy 3 days" et exprimer mon agrément pour le choix Afin que ma livraison soit livrée selon mon choix, V1.0, Highest, E03 - Shopping cart, 4, 5, En cours
Story, E03-F11-US 021 - Payment methods (bank wire - check - visa),  , V1.0, Highest, E03 - Shopping cart, 4, 5, En cours
